Time in milliseconds,Time,Username,User,Domain,Source IP,Activity,Path,Entity Type,Device,Protocol
1719933318452,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File1000.txt,txt,wrk-svm1,NFS
1719933318442,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File999.txt,txt,wrk-svm1,NFS
1719933318422,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File998.txt,txt,wrk-svm1,NFS
1719933318402,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File997.txt,txt,wrk-svm1,NFS
1719933318382,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File996.txt,txt,wrk-svm1,NFS
1719933318372,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File995.txt,txt,wrk-svm1,NFS
1719933318352,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File994.txt,txt,wrk-svm1,NFS
1719933318332,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File993.txt,txt,wrk-svm1,NFS
1719933318312,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File992.txt,txt,wrk-svm1,NFS
1719933318302,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File991.txt,txt,wrk-svm1,NFS
1719933318282,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File990.txt,txt,wrk-svm1,NFS
1719933318262,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File989.txt,txt,wrk-svm1,NFS
1719933318252,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File988.txt,txt,wrk-svm1,NFS
1719933318232,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File987.txt,txt,wrk-svm1,NFS
1719933318212,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File986.txt,txt,wrk-svm1,NFS
1719933318202,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File985.txt,txt,wrk-svm1,NFS
1719933318182,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File984.txt,txt,wrk-svm1,NFS
1719933318162,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File983.txt,txt,wrk-svm1,NFS
1719933318142,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File982.txt,txt,wrk-svm1,NFS
1719933318132,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File981.txt,txt,wrk-svm1,NFS
1719933318112,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File980.txt,txt,wrk-svm1,NFS
1719933318092,Jul 2 2024 17:15:18 CEST,root,root,,10.0.70.110,delete,/wrkvol1/test/testdir0/File979.txt,txt,wrk-svm1,NFS
